Company Name;Date;Ticker;Adj Close;Close value in reference period;Number of Records
VASCO;13.10.2013;VDSI;$7.94;;1
Sourcefire;14.10.2013;FIRE;$6.32;;1
Symantec;14.10.2013;SYMC;$14.79;;1
VASCO;14.10.2013;VDSI;$7.58;;1
Sourcefire;15.10.2013;FIRE;$5.60;;1
Symantec;15.10.2013;SYMC;$14.04;;1
VASCO;15.10.2013;VDSI;$6.64;;1
Sourcefire;16.10.2013;FIRE;$6.39;;1
Symantec;16.10.2013;SYMC;$14.68;;1
VASCO;16.10.2013;VDSI;$7.10;;1
Sourcefire;17.10.2013;FIRE;$6.04;;1
Symantec;17.10.2013;SYMC;$15.28;;1
VASCO;17.10.2013;VDSI;$6.94;;1
Sourcefire;20.10.2013;FIRE;$6.26;;1
Symantec;20.10.2013;SYMC;$15.76;;1
VASCO;20.10.2013;VDSI;$7.60;;1
Sourcefire;21.10.2013;FIRE;$5.85;;1
Symantec;21.10.2013;SYMC;$15.02;;1
VASCO;21.10.2013;VDSI;$7.38;;1
Sourcefire;22.10.2013;FIRE;$5.39;;1
Symantec;22.10.2013;SYMC;$14.28;;1
VASCO;22.10.2013;VDSI;$7.49;;1
Sourcefire;23.10.2013;FIRE;$5.34;;1
Symantec;23.10.2013;SYMC;$14.30;;1
VASCO;23.10.2013;VDSI;$9.82;;1
Sourcefire;24.10.2013;FIRE;$5.09;;1
Symantec;24.10.2013;SYMC;$13.68;;1
VASCO;24.10.2013;VDSI;$9.17;;1
Sourcefire;27.10.2013;FIRE;$5.06;;1
Symantec;27.10.2013;SYMC;$13.65;;1
VASCO;27.10.2013;VDSI;$9.02;;1
Sourcefire;28.10.2013;FIRE;$5.56;;1
Symantec;28.10.2013;SYMC;$14.82;;1
VASCO;28.10.2013;VDSI;$10.24;;1
Sourcefire;29.10.2013;FIRE;$5.32;;1
Symantec;29.10.2013;SYMC;$14.82;;1
VASCO;29.10.2013;VDSI;$10.35;;1
Sourcefire;30.10.2013;FIRE;$5.42;;1
Symantec;30.10.2013;SYMC;$12.20;;1
VASCO;30.10.2013;VDSI;$10.96;;1
Sourcefire;31.10.2013;FIRE;$6.34;;1
Symantec;31.10.2013;SYMC;$12.58;;1
VASCO;31.10.2013;VDSI;$11.33;;1
Sourcefire;03.11.2013;FIRE;$6.28;;1
Symantec;03.11.2013;SYMC;$13.30;;1
VASCO;03.11.2013;VDSI;$11.42;;1
Sourcefire;04.11.2013;FIRE;$6.31;;1
Symantec;04.11.2013;SYMC;$13.65;;1
VASCO;04.11.2013;VDSI;$11.66;;1
Sourcefire;05.11.2013;FIRE;$5.71;;1
Symantec;05.11.2013;SYMC;$13.20;;1
VASCO;05.11.2013;VDSI;$10.76;;1
Sourcefire;06.11.2013;FIRE;$5.36;;1
Symantec;06.11.2013;SYMC;$12.83;;1
VASCO;06.11.2013;VDSI;$10.38;;1
Sourcefire;07.11.2013;FIRE;$5.24;;1
Symantec;07.11.2013;SYMC;$13.20;;1
VASCO;07.11.2013;VDSI;$10.74;;1
Sourcefire;10.11.2013;FIRE;$5.10;;1
Symantec;10.11.2013;SYMC;$12.90;;1
VASCO;10.11.2013;VDSI;$10.50;;1
Sourcefire;11.11.2013;FIRE;$4.98;;1
Symantec;11.11.2013;SYMC;$12.63;;1
VASCO;11.11.2013;VDSI;$10.07;;1
Sourcefire;12.11.2013;FIRE;$4.58;;1
Symantec;12.11.2013;SYMC;$12.29;;1
VASCO;12.11.2013;VDSI;$9.55;;1
Sourcefire;13.11.2013;FIRE;$5.08;;1
Symantec;13.11.2013;SYMC;$12.69;;1
VASCO;13.11.2013;VDSI;$10.12;;1
Sourcefire;14.11.2013;FIRE;$5.09;;1
Symantec;14.11.2013;SYMC;$12.21;;1
VASCO;14.11.2013;VDSI;$9.55;;1
Sourcefire;17.11.2013;FIRE;$5.20;;1
Symantec;17.11.2013;SYMC;$12.16;;1
VASCO;17.11.2013;VDSI;$9.42;;1
Sourcefire;18.11.2013;FIRE;$4.91;;1
Symantec;18.11.2013;SYMC;$12.40;;1
VASCO;18.11.2013;VDSI;$9.20;;1
Sourcefire;19.11.2013;FIRE;$5.00;;1
Symantec;19.11.2013;SYMC;$11.24;;1
VASCO;19.11.2013;VDSI;$8.70;;1
Sourcefire;20.11.2013;FIRE;$4.51;;1
Symantec;20.11.2013;SYMC;$10.05;;1
VASCO;20.11.2013;VDSI;$8.40;;1
Sourcefire;21.11.2013;FIRE;$5.00;;1
Symantec;21.11.2013;SYMC;$10.95;;1
VASCO;21.11.2013;VDSI;$9.30;;1
Sourcefire;24.11.2013;FIRE;$5.54;;1
Symantec;24.11.2013;SYMC;$12.04;;1
VASCO;24.11.2013;VDSI;$10.22;;1
Sourcefire;25.11.2013;FIRE;$5.14;;1
Symantec;25.11.2013;SYMC;$11.58;;1
VASCO;25.11.2013;VDSI;$10.67;;1
Sourcefire;26.11.2013;FIRE;$5.62;;1
Symantec;26.11.2013;SYMC;$12.17;;1
VASCO;26.11.2013;VDSI;$10.38;;1
Sourcefire;28.11.2013;FIRE;$5.78;;1
Symantec;28.11.2013;SYMC;$12.03;;1
VASCO;28.11.2013;VDSI;$10.44;;1
Sourcefire;01.12.2013;FIRE;$4.83;$4,83;1
Symantec;01.12.2013;SYMC;$11.09;$11,09;1
VASCO;01.12.2013;VDSI;$9.53;$9,53;1
Sourcefire;02.12.2013;FIRE;$5.00;$5,00;1
